.title na2 
#           v(1)       v(2)       v(4)       v(5)       z(5)       iter(0)   
 0.         0.         0.         0.         0.         NaN        0.        
-1.         5.         0.         190.37     3.9604     4.7499Meg  1.        
-2.         5.         0.         3.0746    -19.898u    997.01Meg  2.        
-3.         5.         0.         5.5536    -9.7462u    996.62Meg  3.        
-4.         5.         0.         5.1613     254.08n    996.23Meg  4.        
-5.         5.         0.         4.9993     260.65n    996.23Meg  5.        
-6.         5.         0.         5.         261.69n    996.23Meg  6.        
-7.         5.         0.         5.         261.69n    996.23Meg  7.        
-8.         5.         0.         5.         261.69n    996.23Meg  8.        
-9.         5.         0.         5.         261.69n    996.23Meg  9.        
 27.        5.         0.         5.         261.69n    996.23Meg  10.       
.print op region(Ddb.Mp1.XI10) region(Ddb.Mp2.XI10) region(Ddb.Mn1.XI1
                 ^ ? no match
.print op region(Ddb.Mp1.XI10) region(Ddb.Mp2.XI10) region(Ddb.Mn1.XI1
                                      ^ ? no match
.print op regio ... db.Mp2.XI10) region(Ddb.Mn1.XI10) region(Ddb.Mn2.XI10) r
                                        ^ ? no match
.print op regio ... db.Mn1.XI10) region(Ddb.Mn2.XI10) region(Dsb.Mn1.XI10) 
                                        ^ ? no match
.print op regio ... db.Mn2.XI10) region(Dsb.Mn1.XI10) 
                                        ^ ? no match
#          
 0.        
-1.        
-2.        
-3.        
-4.        
-5.        
-6.        
-7.        
-8.        
-9.        
 27.       
.print op V(Ddb.Mp1.XI10) V(Ddb.Mp2.XI10) V(Ddb.Mn1.XI10) V(Ddb.Mn2.XI
            ^ ? no match
.print op V(Ddb.Mp1.XI10) V(Ddb.Mp2.XI10) V(Ddb.Mn1.XI10) V(Ddb.Mn2.XI
                            ^ ? no match
.print op V(Ddb ... ) V(Ddb.Mp2.XI10) V(Ddb.Mn1.XI10) V(Ddb.Mn2.XI10) V(Dsb.
                                        ^ ? no match
.print op V(Ddb ... ) V(Ddb.Mn1.XI10) V(Ddb.Mn2.XI10) V(Dsb.Mn1.XI10) 
                                        ^ ? no match
.print op V(Ddb ... ) V(Ddb.Mn2.XI10) V(Dsb.Mn1.XI10) 
                                        ^ ? no match
#          
 0.        
-1.        
-2.        
-3.        
-4.        
-5.        
-6.        
-7.        
-8.        
-9.        
 27.       
.print op I(Ddb.Mp1.XI10) I(Ddb.Mp2.XI10) I(Ddb.Mn1.XI10) I(Ddb.Mn2.XI
            ^ ? no match
.print op I(Ddb.Mp1.XI10) I(Ddb.Mp2.XI10) I(Ddb.Mn1.XI10) I(Ddb.Mn2.XI
                            ^ ? no match
.print op I(Ddb ... ) I(Ddb.Mp2.XI10) I(Ddb.Mn1.XI10) I(Ddb.Mn2.XI10) I(Dsb.
                                        ^ ? no match
.print op I(Ddb ... ) I(Ddb.Mn1.XI10) I(Ddb.Mn2.XI10) I(Dsb.Mn1.XI10) 
                                        ^ ? no match
.print op I(Ddb ... ) I(Ddb.Mn2.XI10) I(Dsb.Mn1.XI10) 
                                        ^ ? no match
#          
 0.        
-1.        
-2.        
-3.        
-4.        
-5.        
-6.        
-7.        
-8.        
-9.        
 27.       
#Time       v(2)       v(4)       v(5)       iter(0)   
 0.         0.         5.         261.69n    10.       
 1.p       -124.04p    4.9993     261.57n    4.        
 4.p        124.77p    4.9993     261.81n    4.        
 100.p     -124.13p    4.9995     261.57n    4.        
 200.p      124.61p    4.9996     261.81n    4.        
 300.p     -124.26p    4.9997     261.57n    4.        
 400.p      124.52p    4.9998     261.81n    4.        
 500.p     -124.32p    4.9998     261.57n    4.        
 600.p      124.47p    4.9999     261.81n    4.        
 700.p     -124.36p    4.9999     261.57n    4.        
 800.p      124.44p    4.9999     261.81n    4.        
 900.p     -124.38p    5.         261.57n    4.        
 1.n        124.43p    5.         261.81n    4.        
 1.1n       0.25       5.0037     0.25       5.        
 1.2n       0.5        5.0065     0.49999    5.        
 1.3n       0.75       5.0088     0.74996    5.        
 1.4n       1.         5.0106     1.0001     5.        
 1.5n       1.25       5.0122     0.98571    5.        
 1.6n       1.5        5.0131     0.25776    8.        
 1.7n       1.75       5.0091     0.19372    7.        
 1.8n       2.         4.9981     0.26736    6.        
 1.9n       2.25       4.9794     0.29414    5.        
 2.n        2.5        4.9528     0.34525    5.        
 2.1n       2.75       4.9177     0.38132    5.        
 2.2n       3.         4.8721     0.4261     5.        
 2.3n       3.25       4.8139     0.46433    5.        
 2.4n       3.5        4.7392     0.50627    5.        
 2.5n       3.75       4.6455     0.5448     5.        
 2.6n       4.         4.5291     0.58496    5.        
 2.7n       4.25       4.3922     0.62305    5.        
 2.8n       4.5        4.2409     0.66182    5.        
 2.9n       4.75       4.072      0.69912    5.        
 3.n        5.         3.886      0.73633    5.        
 3.1n       5.         3.6884     0.71527    5.        
 3.2n       5.         3.491      0.72503    5.        
 3.3n       5.         3.2946     0.71027    4.        
 3.4n       5.         3.0986     0.71434    5.        
 3.5n       5.         2.9035     0.70301    5.        
 3.6n       5.         2.7092     0.70289    5.        
 3.7n       5.         2.516      0.69262    5.        
 3.8n       5.         2.324      0.68817    5.        
 3.9n       5.         2.1336     0.67554    5.        
 4.n        5.         1.9455     0.66268    6.        
 4.1n       5.         1.761      0.63815    5.        
 4.2n       5.         1.5817     0.60658    5.        
 4.3n       5.         1.4099     0.56534    5.        
 4.4n       5.         1.2473     0.52051    5.        
 4.5n       5.         1.0952     0.47151    5.        
 4.6n       5.         0.95465    0.4226     5.        
 4.7n       5.         0.82627    0.37368    5.        
 4.8n       5.         0.71036    0.32754    5.        
 4.9n       5.         0.6069     0.28393    5.        
 5.n        5.         0.51551    0.24445    5.        
 5.1n       5.         0.43559    0.20857    5.        
 5.2n       5.         0.36633    0.17709    5.        
 5.3n       5.         0.30681    0.14926    5.        
 5.4n       5.         0.25602    0.1254     5.        
 5.5n       5.         0.21297    0.10473    5.        
 5.6n       5.         0.17668    0.087319   5.        
 5.7n       5.         0.14624    0.072439   5.        
 5.8n       5.         0.1208     0.060072   5.        
 5.9n       5.         0.099632   0.049595   5.        
 6.n        5.         0.082058   0.040977   4.        
 6.1n       5.         0.067507   0.033712   4.        
 6.2n       5.         0.055483   0.027787   4.        
 6.3n       5.         0.045565   0.022802   4.        
 6.4n       5.         0.037395   0.018767   4.        
 6.5n       5.         0.030675   0.015371   4.        
 6.6n       5.         0.02515    0.01264    4.        
 6.7n       5.         0.020613   0.010337   4.        
 6.8n       5.         0.01689    0.0084984  4.        
 6.9n       5.         0.013836   0.0069402  4.        
 7.n        5.         0.011331   0.005707   4.        
 7.1n       5.         0.0092788  0.0046545  4.        
 7.2n       5.         0.0075968  0.0038296  4.        
 7.3n       5.         0.0062194  0.003119   4.        
 7.4n       5.         0.0050909  0.0025686  4.        
 7.5n       5.         0.0041672  0.0020888  4.        
 7.6n       5.         0.0034106  0.0017225  4.        
 7.7n       5.         0.0027915  0.0013982  4.        
 7.8n       5.         0.0022844  0.001155   4.        
 7.9n       5.         0.0018696  935.46u    4.        
 8.n        5.         0.0015299  774.53u    4.        
 8.1n       5.         0.001252   625.62u    4.        
 8.2n       5.         0.0010245  519.5u     4.        
 8.3n       5.         838.42u    418.21u    4.        
 8.4n       5.         686.01u    348.56u    4.        
 8.5n       5.         561.41u    279.41u    4.        
 8.6n       5.         459.34u    233.97u    4.        
 8.7n       5.         375.91u    186.57u    4.        
 8.8n       5.         307.56u    157.14u    4.        
 8.9n       5.         251.7u     124.48u    4.        
 9.n        5.         205.92u    105.62u    4.        
 9.1n       5.         168.53u    82.973u    4.        
 9.2n       5.         137.87u    71.063u    4.        
 9.3n       5.         112.84u    55.242u    4.        
 9.4n       5.         92.311u    47.868u    4.        
 9.5n       5.         75.557u    36.724u    4.        
 9.6n       5.         61.805u    32.292u    4.        
 9.7n       5.         50.592u    24.368u    4.        
 9.8n       5.         41.38u     21.824u    4.        
 9.9n       5.         33.876u    16.129u    4.        
 10.n       5.         27.705u    14.784u    4.        
Gnucap   System status
iterations: op=10, dc=0, tran=473, fourier=0, total=616
transient timesteps: accepted=103, rejected=0, total=103
nodes: user=4, subckt=0, model=0, total=4
dctran density=87.5%, ac density=87.5%
