#Time       v(b)       v(c)       v(vv)      iter(0)   
 0.         0.6        8.812      10.        7.        
 0.01       0.61256    8.0695     10.        5.        
 0.02       0.62507    6.8688     10.        4.        
 0.10167    0.71924    0.020185   10.        11.       
 0.32625    0.77748    0.018156   10.        13.       
 0.55083    0.5372     9.8952     10.        8.        
 0.77542    0.40254    9.9994     10.        4.        
 1.         0.6        8.812      10.        5.        
#Time       v(b)       v(c)       v(vv)      iter(0)   
 1.         0.6        8.812      10.        2.        
 1.01       0.61256    8.0695     10.        5.        
 1.2575     0.79978    0.018024   10.        9.        
 1.3812     0.73576    0.019095   10.        27.       
 1.505      0.59372    9.0682     10.        9.        
 1.6288     0.45529    9.9956     10.        4.        
 1.8144     0.41614    9.999      10.        4.        
 2.         0.6        8.812      10.        5.        
#Time       v(b)       v(c)       v(vv)      iter(0)   
 2.         0.6        8.812      10.        2.        
