module N1 (.d(d),.g(g),.s(s),.b(b));
  parameter real w=350.e-9;
  parameter real l=340.e-9;
  parameter integer nf=1;
  parameter real ad=0.0;
  parameter real pd=0.0;
  parameter real as=0.0;
  parameter real ps=0.0;
  parameter real sa=0.0;
  parameter real sb=0.0;
  parameter real sd=0.0;
      electrical d, g, s, b;
  N1 #(.w(w),.l(l),.ng(nf)) M1 (.D(d),.G(g),.S(s),.B(b));
endmodule // N1

module P1 (.d(d),.g(g),.s(s),.b(b));
  parameter real w=350.e-9;
  parameter real l=280.e-9;
  parameter integer nf=1;
  parameter real ad=0.0;
  parameter real pd=0.0;
  parameter real as=0.0;
  parameter real ps=0.0;
  parameter real sa=0.0;
  parameter real sb=0.0;
  parameter real sd=0.0;
      electrical d, g, s, b;
  P1 #(.w(w),.l(l),.ng(nf)) M1 (.D(d),.G(g),.S(s),.B(b));
endmodule // P1

parameter real vscale = 0.333333333; 
ground gnd;
N1 #(.l(0.09u),.w(10.0u)) M1 (.d(out),.g(g),.s(gnd),.b(gnd));
resistor #(.r(10k),.noisy(1.0)) RD (.p(vdd),.n(out));
vsource #(.dc(1.2)) Vdd (.p(vdd),.n(gnd));
vsource #(.dc(0.6)) Vg (.p(g),.n(gnd));
// Total noise power at the drain node
meas_noise #() n_out (.p(out));
#              
 0.            
#Freq           npwr(n_out)   
 1.             105.15685E-15 
 1.04712855     100.42406E-15 
 1.0964782      95.904283E-15 
 1.14815362     91.587927E-15 
 1.20226443     87.465839E-15 
 1.25892541     83.529276E-15 
 1.31825674     79.769887E-15 
 1.38038426     76.179699E-15 
 1.44543977     72.751095E-15 
 1.51356125     69.476804E-15 
 1.58489319     66.349881E-15 
 1.65958691     63.363692E-15 
 1.73780083     60.511904E-15 
 1.81970086     57.788468E-15 
 1.90546072     55.187606E-15 
 1.99526231     52.703802E-15 
 2.08929613     50.331788E-15 
 2.18776162     48.066533E-15 
 2.29086765     45.90323E-15  
 2.39883292     43.837292E-15 
 2.51188643     41.864337E-15 
 2.63026799     39.980179E-15 
 2.7542287      38.180823E-15 
 2.8840315      36.46245E-15  
 3.01995172     34.821418E-15 
 3.16227766     33.254243E-15 
 3.31131121     31.757604E-15 
 3.4673685      30.328324E-15 
 3.63078055     28.963372E-15 
 3.80189396     27.659854E-15 
 3.98107171     26.415003E-15 
 4.16869383     25.22618E-15  
 4.36515832     24.090863E-15 
 4.5708819      23.006643E-15 
 4.78630092     21.971221E-15 
 5.01187234     20.982401E-15 
 5.2480746      20.038086E-15 
 5.49540874     19.136271E-15 
 5.75439937     18.275045E-15 
 6.02559586     17.45258E-15  
 6.30957344     16.667133E-15 
 6.60693448     15.917036E-15 
 6.91830971     15.200699E-15 
 7.2443596      14.516603E-15 
 7.58577575     13.863296E-15 
 7.94328235     13.239393E-15 
 8.31763771     12.64357E-15  
 8.7096359      12.074563E-15 
 9.12010839     11.531166E-15 
 9.54992586     11.012226E-15 
 10.            10.516642E-15 
 10.4712855     10.043363E-15 
 10.964782      9.591385E-15  
 11.4815362     9.159749E-15  
 12.0226443     8.747541E-15  
 12.5892541     8.353884E-15  
 13.1825674     7.977945E-15  
 13.8038426     7.618927E-15  
 14.4543977     7.276066E-15  
 15.1356125     6.948637E-15  
