module N1 (.d(d),.g(g),.s(s),.b(b));
  parameter real w=350.e-9;
  parameter real l=340.e-9;
  parameter integer nf=1;
  parameter real ad=0.0;
  parameter real pd=0.0;
  parameter real as=0.0;
  parameter real ps=0.0;
  parameter real sa=0.0;
  parameter real sb=0.0;
  parameter real sd=0.0;
  electrical d;
  electrical g;
  electrical s;
  electrical b;
  N1 #(.w(w),.l(l),.ng(nf)) M1 (.D(d),.G(g),.S(s),.B(b));
endmodule // N1

module P1 (.d(d),.g(g),.s(s),.b(b));
  parameter real w=350.e-9;
  parameter real l=280.e-9;
  parameter integer nf=1;
  parameter real ad=0.0;
  parameter real pd=0.0;
  parameter real as=0.0;
  parameter real ps=0.0;
  parameter real sa=0.0;
  parameter real sb=0.0;
  parameter real sd=0.0;
  electrical d;
  electrical g;
  electrical s;
  electrical b;
  P1 #(.w(w),.l(l),.ng(nf)) M1 (.D(d),.G(g),.S(s),.B(b));
endmodule // P1

parameter real vscale = 0.333333333;
//* MOSFET noise test
ground gnd;
N1 #(.l(0.09u),.w(10.0u)) M1 (.d(out),.g(g),.s(gnd),.b(gnd));
resistor #(.r(10k),.noisy(1.0)) RD (vdd, out);
vsource #(.dc(1.2)) Vdd (vdd, gnd);
vsource #(.dc(0.6)) Vg (g, gnd);
// Total noise power at the drain node
noise_probe #() n_out (out);
#              
 0.            
#Freq           npwr(n_out)   
 1.             133.52887E-15 
 1.04712855     127.51915E-15 
 1.0964782      121.77991E-15 
 1.14815362     116.29898E-15 
 1.20226443     111.06473E-15 
 1.25892541     106.06606E-15 
 1.31825674     101.29237E-15 
 1.38038426     96.733529E-15 
 1.44543977     92.37987E-15  
 1.51356125     88.222158E-15 
 1.58489319     84.251574E-15 
 1.65958691     80.459695E-15 
 1.73780083     76.83848E-15  
 1.81970086     73.380246E-15 
 1.90546072     70.077658E-15 
 1.99526231     66.923711E-15 
 2.08929613     63.911715E-15 
 2.18776162     61.035281E-15 
 2.29086765     58.288308E-15 
 2.39883292     55.664969E-15 
 2.51188643     53.1597E-15   
 2.63026799     50.767186E-15 
 2.7542287      48.482354E-15 
 2.8840315      46.300355E-15 
 3.01995172     44.216563E-15 
 3.16227766     42.226557E-15 
 3.31131121     40.326116E-15 
 3.4673685      38.511209E-15 
 3.63078055     36.777986E-15 
 3.80189396     35.122771E-15 
 3.98107171     33.542053E-15 
 4.16869383     32.032479E-15 
 4.36515832     30.590847E-15 
 4.5708819      29.2141E-15   
 4.78630092     27.899316E-15 
 5.01187234     26.643707E-15 
 5.2480746      25.44461E-15  
 5.49540874     24.299481E-15 
 5.75439937     23.205891E-15 
 6.02559586     22.161521E-15 
 6.30957344     21.164155E-15 
 6.60693448     20.211679E-15 
 6.91830971     19.30207E-15  
 7.2443596      18.433401E-15 
 7.58577575     17.603829E-15 
 7.94328235     16.811593E-15 
 8.31763771     16.055014E-15 
 8.7096359      15.332486E-15 
 9.12010839     14.642478E-15 
 9.54992586     13.983525E-15 
 10.            13.35423E-15  
 10.4712855     12.753257E-15 
 10.964782      12.179333E-15 
 11.4815362     11.63124E-15  
 12.0226443     11.107815E-15 
 12.5892541     10.607948E-15 
 13.1825674     10.130579E-15 
 13.8038426     9.674695E-15  
 14.4543977     9.239329E-15  
 15.1356125     8.823558E-15  
 15.8489319     8.4265E-15    
 16.5958691     8.047312E-15  
 17.3780083     7.68519E-15   
 18.1970086     7.339367E-15  
 19.0546072     7.009108E-15  
 19.9526231     6.693713E-15  
 20.8929613     6.392514E-15  
 21.8776162     6.10487E-15   
 22.9086765     5.830173E-15  
 23.9883292     5.567839E-15  
 25.1188643     5.317312E-15  
 26.3026799     5.078061E-15  
 27.542287      4.849578E-15  
 28.840315      4.631378E-15  
 30.1995172     4.422999E-15  
 31.6227766     4.223998E-15  
