parameter real vscale = 0.66666666; 
ground gnd;
N1 #(.l(0.09u),.w(10.0u)) M1 (.d(out),.g(g),.s(gnd),.b(gnd));
resistor #(.r(10k),.noisy(1.0)) RD (.p(vdd),.n(out));
vsource #(.dc(1.2)) Vdd (.p(vdd),.n(gnd));
vsource #(.dc(0.6)) Vg (.p(g),.n(gnd));
// Total noise power at the drain node
meas_noise #() n_out (.p(out));
#              
 0.            
#Freq           npwr(n_out)   
 1.             24.97472E-15  
 1.04712855     23.85083E-15  
 1.0964782      22.777524E-15 
 1.14815362     21.752524E-15 
 1.20226443     20.773657E-15 
 1.25892541     19.838847E-15 
 1.31825674     18.946109E-15 
 1.38038426     18.093552E-15 
 1.44543977     17.279366E-15 
 1.51356125     16.501824E-15 
 1.58489319     15.759278E-15 
 1.65958691     15.050151E-15 
 1.73780083     14.372941E-15 
 1.81970086     13.72621E-15  
 1.90546072     13.108586E-15 
 1.99526231     12.518761E-15 
 2.08929613     11.955481E-15 
 2.18776162     11.417554E-15 
 2.29086765     10.903837E-15 
 2.39883292     10.413242E-15 
 2.51188643     9.944727E-15  
 2.63026799     9.497298E-15  
 2.7542287      9.070007E-15  
 2.8840315      8.661947E-15  
 3.01995172     8.272254E-15  
 3.16227766     7.900099E-15  
 3.31131121     7.544694E-15  
 3.4673685      7.205284E-15  
 3.63078055     6.881151E-15  
 3.80189396     6.571606E-15  
 3.98107171     6.275993E-15  
 4.16869383     5.993685E-15  
 4.36515832     5.724082E-15  
 4.5708819      5.466614E-15  
 4.78630092     5.220734E-15  
 5.01187234     4.98592E-15   
 5.2480746      4.761675E-15  
 5.49540874     4.547522E-15  
 5.75439937     4.343007E-15  
 6.02559586     4.147698E-15  
 6.30957344     3.961179E-15  
 6.60693448     3.783054E-15  
 6.91830971     3.612946E-15  
 7.2443596      3.450495E-15  
 7.58577575     3.295355E-15  
 7.94328235     3.147198E-15  
 8.31763771     3.005708E-15  
 8.7096359      2.870587E-15  
 9.12010839     2.741547E-15  
 9.54992586     2.618315E-15  
 10.            2.500629E-15  
 10.4712855     2.38824E-15   
 10.964782      2.28091E-15   
 11.4815362     2.17841E-15   
 12.0226443     2.080523E-15  
 12.5892541     1.987042E-15  
 13.1825674     1.897768E-15  
 13.8038426     1.812513E-15  
 14.4543977     1.731094E-15  
