#Time       v(b)       v(c)       v(vv)     
 0.         0.6        8.812      10.       
 0.01       0.61256    8.0695     10.       
 0.02       0.62507    6.8688     10.       
 0.10167    0.71924    0.020185   10.       
 0.32625    0.77748    0.018156   10.       
 0.55083    0.5372     9.8952     10.       
 0.77542    0.40254    9.9994     10.       
 1.         0.6        8.812      10.       
#Time       v(b)       v(c)       v(vv)     
 1.         0.6        8.812      10.       
 1.01       0.61256    8.0695     10.       
 1.2575     0.79978    0.018024   10.       
 1.505      0.59372    9.0682     10.       
 1.7525     0.40002    9.9994     10.       
 2.         0.6        8.812      10.       
#Time       v(b)       v(c)       v(vv)     
 2.         0.6        8.812      10.       
